1,"CladDime, silver Dime, dime in ziploc at 5""",,,,,,,,,,,,,
2,"Dime on edge at 5""",,,,,,,,,,,,,
3,"Clad dime at 7""",,,,,,,,,,,,,
4,Clad dime at 9:,,,,,,,,,,,,,
5,"Clad dime at 11""",,,,,,,,,,,,,
6,"Nickel at 8""",,,,,,,,,,,,,
7,"Nickel at 6""",,,,,,,,,,,,,
8,"Zinc Penny, Copper penny, Indian Head, clad dime 4-5"" separation",,,,,,,,,,,,,
9,"Copper penny at 9""",,,,,,,,,,,,,
10,"Copper penny at 11""",,,,,,,,,,,,,
11,"Quarter at 6""",,,,,,,,,,,,,
12,"Quarter at 8""",,,,,,,,,,,,,
13,"Quarter at 10""",,,,,,,,,,,,,
14,"Quarter at 12""",,,,,,,,,,,,,
15,"Beavertail, Pull tab (no beaver), pull tab with beaver",,,,,,,,,,,,,
16,"Large nail 3" separation, Clad dime, 5" separation large nail",,,,,,,,,,,,,
17,"Pull tab 4" separation, clad dime, 3" separation Pull tab",,,,,,,,,,,,,
18,"small nail 5"" separation, medium nail, 5"" separtion, large nail",,,,,,,,,,,,,
19,"bent nail, straight nail 5""",,,,,,,,,,,,,
20,Large nail superimposed on dime,,,,,,,,,,,,,
21,"Large nail, 3"" separation, clad dime, 5"" separation, large nail",,,,,,,,,,,,,
22,"Clad dime with large nail 2"" above",,,,,,,,,,,,,
23,"Medium nail 2"" above and 3-4"" to the side of clad dime at 7""",,,,,,,,,,,,,
24,"Small nail 2"" above and 3-4"" to the side of dime at 7""",,,,,,,,,,,,,
25,"aluminum trash, beaver tail and pull tab with beaver tail separated by 4""",,,,,,,,,,,,,
26,"Foil superimposed on clad dime at 8""",,,,,,,,,,,,,
27,"Foil 2"" above and 3-4"" to the side of clad dime at 7""",,,,,,,,,,,,,
28,"Foil 3"" to the side of clad dime at 7""",,,,,,,,,,,,,
29,"Bottle cap superimposed on clad dime at 7""",,,,,,,,,,,,,
30,"Bottle cap 3"" above clad dime at 7""",,,,,,,,,,,,,
31,"Bottle cap 2-3"" above and 4"" to the side of clad dime at 7""",,,,,,,,,,,,,
32,"Silver Ring (small) at 6-7""",,,,,,,,,,,,,
